,DateTime,Open,High,Low,Close,Volume,6
,2023-06-28 09:15:00+05:30,1.35,1.35,1.35,1.35,0,0
,2023-06-30 09:15:00+05:30,1.35,1.35,1.35,1.35,0,0
,2023-07-04 11:25:00+05:30,20526.85,20526.85,20526.85,20526.85,0,0
,2023-07-04 11:30:00+05:30,20526.85,20526.85,20526.85,20526.85,0,0
,2023-07-04 11:35:00+05:30,20526.85,20526.85,20526.85,20526.85,0,0
,2023-07-04 11:40:00+05:30,20526.85,20526.85,20526.85,20526.85,0,0
,2023-07-04 11:45:00+05:30,20526.85,20526.85,20526.85,20526.85,0,0
,2023-07-04 11:50:00+05:30,20526.85,20526.85,20526.85,20526.85,0,0
,2023-07-04 11:55:00+05:30,20526.85,20526.85,20526.85,20526.85,0,0
,2023-07-04 12:00:00+05:30,20531.6,20531.6,20531.6,20531.6,40,40
,2023-07-04 12:05:00+05:30,20531.6,20531.6,20531.6,20531.6,0,40
,2023-07-04 12:10:00+05:30,20531.6,20531.6,20531.6,20531.6,0,40
,2023-07-04 12:15:00+05:30,20531.6,20531.6,20531.6,20531.6,0,40
,2023-07-04 12:20:00+05:30,20531.6,20531.6,20531.6,20531.6,0,40
,2023-07-04 12:25:00+05:30,20531.6,20531.6,20531.6,20531.6,0,40
,2023-07-04 12:30:00+05:30,20531.6,20531.6,20531.6,20531.6,0,40
,2023-07-04 12:35:00+05:30,20531.6,20531.6,20531.6,20531.6,0,40
,2023-07-04 12:40:00+05:30,20531.6,20600.0,20531.6,20600.0,40,40
,2023-07-04 12:45:00+05:30,20600.0,20600.0,20600.0,20600.0,0,40
,2023-07-04 12:50:00+05:30,20600.0,20600.0,20600.0,20600.0,0,40
,2023-07-04 12:55:00+05:30,20600.0,20600.0,20600.0,20600.0,0,40
,2023-07-04 13:00:00+05:30,20600.0,20600.0,20600.0,20600.0,0,40
,2023-07-04 13:05:00+05:30,20600.0,20600.0,20600.0,20600.0,0,40
,2023-07-04 13:10:00+05:30,20600.0,20600.0,20600.0,20600.0,0,40
,2023-07-04 13:15:00+05:30,20600.0,20600.0,20600.0,20600.0,0,40
,2023-07-04 13:20:00+05:30,20600.0,20600.0,20600.0,20600.0,0,40
,2023-07-04 13:25:00+05:30,20650.0,20650.0,20650.0,20650.0,80,80
,2023-07-04 13:30:00+05:30,20650.0,20655.0,20650.0,20655.0,40,160
,2023-07-04 13:35:00+05:30,20655.0,20655.0,20655.0,20655.0,0,160
,2023-07-04 13:40:00+05:30,20655.0,20655.0,20655.0,20655.0,0,160
